ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,3,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,4,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,5,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,7,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,8,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,9,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,10,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,11,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,12,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,13-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,13-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,13-3,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,14-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,15-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,15-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,16-3,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,16-4,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,17,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,18-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,18-3,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,19-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,19-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,20-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,20-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,21-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,21-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,22-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,22-2,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,23,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,23-1,,
24343-1903-1.zip,202202071248,三重郡朝日町大字埋縄,23-2,,
